Note bit	Autonote Text	Category		
1	Принят жезл огненных шаров от г-на Мальвика на Изумрудном острове.	Misc	1	
2	50 очков временной Устойчивости к Огню от центрального городского колодца на Изумрудном острове.	Stat	1	Stat
3	5 единиц здоровья восстановлено от колодца к востоку от Храма на Изумрудном острове.	Stat	1	Misc
4	5 очков магии восстановлено от колодца к западу от Храма на Изумрудном острове. 	Stat	1	Arbiter
5	2 очка постоянной Удачи от колодца на западе Изумрудного острова.	Stat	1	Teacher
6	10 очков временной Силы от колодца в деревне к югу от Хармондейла.	Stat	2	Potion
7	10 очков временной Меткости от колодца в деревне к северо-востоку от Стедвика.	Stat	3	Obelisk
8	2 очка постоянной Силы от колодца в северо-западной части Стедвика.	Stat	3	
9	Излечена болезнь водой из восточного колодца в Стедвике.	Stat	3	
10	20 очков временной Устойчивости к Магии от колодца к югу от Ратуши Стедвика.	Stat	3	
11	50 очков временной Силы от центрального фонтана в Стедвике.	Stat	3	
12	5 очков временной Силы духа от корыта перед Ратушей Стедвика.	Stat	3	
13	50 очков временной Устойчивости к Яду от центрального фонтана в Пьерпонте.	Stat	4	
14	2 очка постоянного Интеллекта от колодца в южной деревне в Дейе.	Stat	5	
15	5 очков постоянной Устойчивости к Огню от колодца в западной деревне в Дейе.	Stat	5	
16	10 очков временной Силы духа от колодца близ Храма Тьмы в Моулдере в Дейе.	Stat	5	
17	10 очков временной Устойчивости к Огню от колодца к югу от Моулдера в Дейе.	Stat	5	
18	25 очков временного Интеллекта и Силы духа от фонтана у стен Школы волшебства в пустыне Бракада.	Stat	6	
19	"25 очков временной Силы, Интеллекта, Силы духа, Выносливости, Скорости, Меткости и Удачи от центрального фонтана в Небесах."	Stat	7	
20	50 очков временного Интеллекта и Силы духа от центрального фонтана в Дамокле в Горе Нигон.	Stat	10	
21	2 очка навыков от колодца около Подаяний и благословений в Дамокле в Горе Нигон. 	Stat	10	
22	2 очка постоянной Силы духа от колодца около Причуд фортуны в Дамокле в Горе Нигон.	Stat	10	
23	"20 очков временной устойчивости к Огню, Грому, Холоду, Яду, Мысли и Магии от колодца около Гильдии Огня в Дамокле в Горе Нигон."	Stat	10	
24	50 очков магии восстановлено от колодца в восточной деревне у Горы Нигон.	Stat	10	
25	50 единиц здоровья восстановлено от колодца в западной деревне у Горы Нигон.	Stat	10	
