Q Bit	Quest Note Text	Notes	Owner	
1	Bringt dem Schiedsrichter auf der Smaragdinsel einen roten Trank.	0	Bryan	
2	Bringt dem Schiedsrichter auf der Smaragdinsel eine Muschel.	0	Bryan	
3	Bringt dem Schiedsrichter auf der Smaragdinsel einen Langbogen.	0	Bryan	
4	Bringt dem Schiedsrichter auf der Smaragdinsel eine Bodenfliese.	0	Bryan	
5	Bringt dem Schiedsrichter auf der Smaragdinsel ein Musikinstrument.	0	Bryan	
6	Bringt dem Schiedsrichter auf der Smaragdinsel einen wertvollen Hut.	0	Bryan	
7		Finished Scavenger Hunt	Bryan	
8		Brought red potion	Bryan	0
9		Brought seashell	Bryan	0
10		Brought longbow	Bryan	0
11		Brought tile	Bryan	0
12		Brought instrument	Bryan	0
13		Brought hat	Bryan	0
14		Accepted Fireball wand from Malwick	Bryan	0
15		Able to use boat to get off Emerald Island	Bryan	0
16	Findet die vermissten Teilnehmer auf der Smaragdinsel und bringt Lord Markham einen Beweis dafür.	0	Bryan	0
17		No more docent babble	Bryan	0
18	Geht zu Lord Markhams Villa in Tatalia, stehlt dort die Vase und bringt sie dann William Lasker in der Kanalisation von Erathia.	0	Bryan	0
19	Geht zu Wachturm 6 in Deyja und bringt das Gewicht im Turm von oben nach unten. Kehrt dann zu William Lasker in der Kanalisation von Erathia zurück.	0	Bryan	0
20		Watchtower 6.  Weight in the appropriate box.  Important for Global event 47 (Spy promotion)		0
21	Geht an den Hof von Celeste und tötet Lady Eleanor Carmine. Kehrt mit einem Beweis dafür zu Seknit Unterschatten in Deyja zurück.	0	Bryan	0
22	Tötet Wromthrax, den Herzlosen in seiner Höhle in Tatalia und sprecht dann mit Sir Charles Quixote.	0	Bryan	0
23		Killed dragon when on Crusader quest	Bryan	0
24	Befreit Alice Hargreaves aus Williams Turm in Deyja und sprecht dann mit Sir Charles Quixote.	0	Bryan	0
25		Mini-dungeon Area 5.  Rescued/Captured Alice Hargreaves.	Bryan	0
26	Entführt Alice Hargreaves aus ihrer Residenz auf Schloß Greifenherz und bringt sie zu Williams Turm in Deyja.	0	Bryan	0
27	Findet den verschollenen Ort der Meditation in den Zwergen - Hügelgräbern.	0	Bryan	0
28	Geht in den Tempel von Baa in Avlee und tötet den Hohepriester von Baa. Kehrt dann zu Bartholomew Hume in Harmondale zurück.	0	Bryan	0
29	Knackt den Code in der Schule der Zauberei in der Bracada - Wüste, um herauszufinden, wo die Gruft von Ashwar Nog'Nogoth ist. Findet sie, betretet sie und kehrt dann zu Stephan Sand in der Grube zurück.	0	Bryan	0
30	Holt den Perfekten Bogen aus der Titanenfestung in Avlee und bringt ihn zu Lawrence Mark in Harmondale.	0	Bryan	0
31	Sabotiert den Aufzug in den Roten Zwergenminen in der Bracada - Wüste und kehrt dann zu Steagal Snick in Avlee zurück.	0	Bryan	0
32	Findet den Scharfschützen - Köcher im Altar der Wünsche in der Bracada - Wüste und kehrt dann zu Steagal Snick in Avlee zurück.	0	Bryan	0
33	Gewinnt fünf Kämpfe in der Arena und kehrt zu Leda Rowan in der Bracada - Wüste zurück.	0	Bryan	0
34	Vernichtet alle Untoten im Geisterhaus im Tal der Hügelgräber und kehrt dann zu Frederick Org in Erathia zurück.	0	Bryan	0
35	Raubt die Schatzkammer der Elfen in Schloß Narvan im Tulareanischen Forst aus und kehrt dann zu Frederick Org in Erathia zurück.	0	Bryan	0
36	Beruhigt die Bäume im Tulareanischen Forst, indem Ihr mit dem ältesten Baum sprecht und kehrt dann zu Lysander Süß in der Bracada - Wüste zurück.	0	Bryan	0
37	Löst das Geheimnis, wie man den Feenhügel in Avlee betreten kann und sprecht mit dem Feenkönig.	0	Bryan	0
38	Verdient Euch 10.000 Goldstücke Prämien durch die Aufträge der Stadthallen und kehrt dann zu Ebednezer Sauer im Tulareanischen Forst zurück.	0	Bryan	0
39	Findet das Herz des Waldes in der Söldnergilde in Tatalia und bringt es dem ältesten Baum im Tulalreanischen Forst zurück.	0	Bryan	0
40		Talked to the Oldest Tree	Bryan	0
41		Solved Tree quest	Bryan	0
42	Weiht den Altar des Bösen im Tempel des Mondes auf der Evenmorn - Insel und kehrt dann zu Rebecca Gotteslicht in Celeste zurück.	0	Bryan	0
43	Findet die verlorene Piraten - Karte in den Tidewater - Höhlen in Tatalia und bringt sie zu Daedalus Falk in Deyja.	0	Bryan	0
44	Entweiht den Altar des Guten im Tempel der Sonne auf der Evenmorn - Insel und kehrt dann zu Daedalus Falk in Deyja zurück.	0	Bryan	0
45	Findet die sechs Golemteile und konstruiert einen vollständigen Golem. Kehrt dann zu Thomas Grey in der Schule der Zauberei zurück.	0	Bryan	0
46		Player Castle.  Golem should appear in castle bit.	Bryan	0
47	Findet das Buch Gottes Eingriff im Brutgehege in der Grube und bringt es zu Thomas Grey in der Schule der Zauberei zurück.	0	Bryan	0
48	Holt die Lichgefäße vom Ort der Reifeprüfung in Celeste und bringt sie zu Halfgild Wynac in der Grube.	0	Bryan	0
49	Besucht die drei Steinmonolithen in Tatalia, auf der Evenmorn - Insel und in Avlee. Kehrt dann zu Anthony Green im Tulareanischen Forst zurück.	0	Bryan	0
50		Visited all stonehenges		0
51		Visited stonehenge 1 (area 9)		0
52		Visited stonehenge 2 (area 13)		0
53		Visited stonehenge 3 (area 14)		0
54	Findet die Gebeine des Zwergenkönigs in den Tunneln zwischen Steinstadt und Nighon und bringt sie an den Ort ihrer letzten Ruhestätte in den Hügelgräbern. Kehrt dann zu Anthony Green im Tulareanischen Forst zurück.	0	Bryan	0
